id,sourceId,date,category,amount,status,description
33,INV-2025-033,2025-03-05,Servicios,1295.00,activo,"Prestación de servicio"
34,INV-2025-034,2025-06-14,Gastos,3604.00,activo,"Pago de gasto operativo"
35,INV-2025-035,2025-08-14,Gastos,4939.00,completado,"Pago de gasto operativo"
36,INV-2025-036,2025-10-22,Ventas,1824.00,pendiente,"Venta de producto comercial"
37,INV-2025-037,2025-09-01,Inventario,1760.00,activo,"Compra de stock"
38,INV-2025-038,2025-07-28,Inventario,412.00,activo,"Compra de stock"
39,INV-2025-039,2025-11-17,Gastos,3264.00,pendiente,"Pago de gasto operativo"
40,INV-2025-040,2025-07-24,Gastos,3309.00,cancelado,"Pago de gasto operativo"
41,INV-2025-041,2025-03-05,Inventario,3253.00,completado,"Compra de stock"
42,INV-2025-042,2025-10-17,Inventario,1767.00,completado,"Compra de stock"
43,INV-2025-043,2025-08-09,Inventario,851.00,cancelado,"Compra de stock"
44,INV-2025-044,2025-05-11,Servicios,2389.00,completado,"Prestación de servicio"
45,INV-2025-045,2025-03-08,Inventario,1939.00,pendiente,"Compra de stock"
46,INV-2025-046,2025-10-09,Servicios,3137.00,pendiente,"Prestación de servicio"
47,INV-2025-047,2025-11-12,Gastos,2512.00,activo,"Pago de gasto operativo"
48,INV-2025-048,2025-03-08,Inventario,3309.00,pendiente,"Compra de stock"
49,INV-2025-049,2025-03-11,Gastos,266.00,cancelado,"Pago de gasto operativo"
50,INV-2025-050,2025-06-27,Inventario,3859.00,cancelado,"Compra de stock"
51,INV-2025-051,2025-01-21,Gastos,1181.00,activo,"Pago de gasto operativo"
52,INV-2025-052,2025-07-05,Gastos,3269.00,pendiente,"Pago de gasto operativo"
53,INV-2025-053,2025-01-04,Servicios,724.00,completado,"Prestación de servicio"
54,INV-2025-054,2025-10-02,Inventario,2800.00,completado,"Compra de stock"
55,INV-2025-055,2025-01-27,Ventas,1329.00,cancelado,"Venta de producto comercial"
56,INV-2025-056,2025-07-07,Gastos,2680.00,cancelado,"Pago de gasto operativo"
57,INV-2025-057,2025-03-22,Inventario,4795.00,pendiente,"Compra de stock"
58,INV-2025-058,2025-11-28,Inventario,3845.00,cancelado,"Compra de stock"
59,INV-2025-059,2025-03-20,Ventas,2862.00,activo,"Venta de producto comercial"
60,INV-2025-060,2025-01-16,Servicios,4738.00,cancelado,"Prestación de servicio"
61,INV-2025-061,2025-04-12,Ventas,1030.00,pendiente,"Venta de producto comercial"
62,INV-2025-062,2025-11-10,Gastos,4890.00,pendiente,"Pago de gasto operativo"
63,INV-2025-063,2025-06-20,Gastos,615.00,completado,"Pago de gasto operativo"
64,INV-2025-064,2025-05-15,Ventas,2603.00,cancelado,"Venta de producto comercial"
65,INV-2025-065,2025-01-28,Ventas,3254.00,activo,"Venta de producto comercial"
66,INV-2025-066,2025-08-08,Inventario,3386.00,cancelado,"Compra de stock"
67,INV-2025-067,2025-06-18,Ventas,1286.00,completado,"Venta de producto comercial"
68,INV-2025-068,2025-10-10,Ventas,1345.00,activo,"Venta de producto comercial"
69,INV-2025-069,2025-05-10,Gastos,1184.00,cancelado,"Pago de gasto operativo"
70,INV-2025-070,2025-05-16,Ventas,895.00,pendiente,"Venta de producto comercial"
71,INV-2025-071,2025-03-27,Gastos,1982.00,activo,"Pago de gasto operativo"
72,INV-2025-072,2025-06-04,Servicios,168.00,cancelado,"Prestación de servicio"
73,INV-2025-073,2025-11-12,Gastos,4762.00,cancelado,"Pago de gasto operativo"
74,INV-2025-074,2025-11-28,Gastos,1447.00,activo,"Pago de gasto operativo"
75,INV-2025-075,2025-01-03,Ventas,1034.00,activo,"Venta de producto comercial"
76,INV-2025-076,2025-11-06,Servicios,4498.00,pendiente,"Prestación de servicio"
77,INV-2025-077,2025-04-18,Servicios,4955.00,pendiente,"Prestación de servicio"
78,INV-2025-078,2025-05-27,Ventas,2505.00,pendiente,"Venta de producto comercial"
79,INV-2025-079,2025-10-19,Gastos,1647.00,pendiente,"Pago de gasto operativo"
80,INV-2025-080,2025-10-26,Inventario,1000.00,cancelado,"Compra de stock"
81,INV-2025-081,2025-05-02,Servicios,1278.00,cancelado,"Prestación de servicio"
82,INV-2025-082,2025-06-21,Ventas,1193.00,completado,"Venta de producto comercial"
83,INV-2025-083,2025-07-18,Ventas,2595.00,cancelado,"Venta de producto comercial"
84,INV-2025-084,2025-05-21,Servicios,2905.00,pendiente,"Prestación de servicio"
85,INV-2025-085,2025-06-02,Servicios,2092.00,activo,"Prestación de servicio"
86,INV-2025-086,2025-01-02,Gastos,4007.00,cancelado,"Pago de gasto operativo"
87,INV-2025-087,2025-07-23,Servicios,3159.00,cancelado,"Prestación de servicio"
88,INV-2025-088,2025-06-03,Inventario,738.00,completado,"Compra de stock"
89,INV-2025-089,2025-08-09,Servicios,3832.00,cancelado,"Prestación de servicio"
90,INV-2025-090,2025-06-03,Gastos,4632.00,pendiente,"Pago de gasto operativo"
91,INV-2025-091,2025-09-23,Ventas,1478.00,cancelado,"Venta de producto comercial"
92,INV-2025-092,2025-04-02,Servicios,4263.00,activo,"Prestación de servicio"
93,INV-2025-093,2025-04-29,Ventas,352.00,pendiente,"Venta de producto comercial"
94,INV-2025-094,2025-06-10,Ventas,1716.00,activo,"Venta de producto comercial"
95,INV-2025-095,2025-11-22,Gastos,757.00,activo,"Pago de gasto operativo"
96,INV-2025-096,2025-09-30,Inventario,4441.00,pendiente,"Compra de stock"
97,INV-2025-097,2025-10-15,Gastos,4568.00,pendiente,"Pago de gasto operativo"
98,INV-2025-098,2025-04-29,Gastos,984.00,completado,"Pago de gasto operativo"
99,INV-2025-099,2025-04-26,Ventas,4370.00,completado,"Venta de producto comercial"
100,INV-2025-100,2025-09-13,Ventas,367.00,activo,"Venta de producto comercial"
101,INV-2025-101,2025-07-19,Ventas,2567.00,cancelado,"Venta de producto comercial"
102,INV-2025-102,2025-07-30,Gastos,2885.00,completado,"Pago de gasto operativo"
103,INV-2025-103,2025-02-19,Inventario,3068.00,pendiente,"Compra de stock"
104,INV-2025-104,2025-02-11,Gastos,3465.00,completado,"Pago de gasto operativo"
105,INV-2025-105,2025-11-08,Ventas,1440.00,pendiente,"Venta de producto comercial"
106,INV-2025-106,2025-05-09,Ventas,3020.00,pendiente,"Venta de producto comercial"
107,INV-2025-107,2025-02-06,Servicios,3974.00,pendiente,"Prestación de servicio"
108,INV-2025-108,2025-09-25,Ventas,2158.00,completado,"Venta de producto comercial"
109,INV-2025-109,2025-04-16,Gastos,319.00,cancelado,"Pago de gasto operativo"
110,INV-2025-110,2025-09-10,Servicios,2082.00,activo,"Prestación de servicio"
111,INV-2025-111,2025-01-03,Inventario,4498.00,pendiente,"Compra de stock"
112,INV-2025-112,2025-08-09,Ventas,3396.00,activo,"Venta de producto comercial"
113,INV-2025-113,2025-10-06,Ventas,292.00,activo,"Venta de producto comercial"
114,INV-2025-114,2025-02-04,Ventas,4641.00,completado,"Venta de producto comercial"
115,INV-2025-115,2025-01-15,Servicios,2213.00,completado,"Prestación de servicio"
116,INV-2025-116,2025-09-07,Inventario,1413.00,completado,"Compra de stock"
117,INV-2025-117,2025-09-08,Inventario,854.00,pendiente,"Compra de stock"
118,INV-2025-118,2025-10-03,Inventario,3548.00,pendiente,"Compra de stock"
119,INV-2025-119,2025-05-07,Inventario,3529.00,activo,"Compra de stock"
120,INV-2025-120,2025-03-17,Gastos,2462.00,cancelado,"Pago de gasto operativo"
121,INV-2025-121,2025-07-30,Gastos,2044.00,activo,"Pago de gasto operativo"
122,INV-2025-122,2025-10-31,Inventario,4384.00,activo,"Compra de stock"
123,INV-2025-123,2025-10-19,Ventas,2913.00,completado,"Venta de producto comercial"
124,INV-2025-124,2025-05-18,Gastos,3404.00,pendiente,"Pago de gasto operativo"
125,INV-2025-125,2025-10-09,Servicios,2886.00,cancelado,"Prestación de servicio"
126,INV-2025-126,2025-01-24,Ventas,1164.00,pendiente,"Venta de producto comercial"
127,INV-2025-127,2025-01-28,Ventas,2086.00,completado,"Venta de producto comercial"
128,INV-2025-128,2025-07-01,Servicios,2090.00,cancelado,"Prestación de servicio"
129,INV-2025-129,2025-08-29,Inventario,4185.00,cancelado,"Compra de stock"
130,INV-2025-130,2025-04-25,Inventario,3914.00,cancelado,"Compra de stock"
131,INV-2025-131,2025-08-29,Ventas,4828.00,activo,"Venta de producto comercial"
132,INV-2025-132,2025-04-07,Servicios,2202.00,activo,"Prestación de servicio"
133,INV-2025-133,2025-06-23,Ventas,2968.00,activo,"Venta de producto comercial"
134,INV-2025-134,2025-04-18,Servicios,1751.00,cancelado,"Prestación de servicio"
135,INV-2025-135,2025-07-09,Ventas,4495.00,cancelado,"Venta de producto comercial"
136,INV-2025-136,2025-11-17,Gastos,2707.00,cancelado,"Pago de gasto operativo"
137,INV-2025-137,2025-04-26,Servicios,403.00,completado,"Prestación de servicio"
138,INV-2025-138,2025-09-13,Inventario,2033.00,cancelado,"Compra de stock"
139,INV-2025-139,2025-10-28,Servicios,3263.00,cancelado,"Prestación de servicio"
140,INV-2025-140,2025-01-09,Gastos,2829.00,activo,"Pago de gasto operativo"
141,INV-2025-141,2025-08-12,Servicios,4565.00,activo,"Prestación de servicio"
142,INV-2025-142,2025-04-05,Servicios,4476.00,cancelado,"Prestación de servicio"
143,INV-2025-143,2025-09-24,Servicios,107.00,activo,"Prestación de servicio"
144,INV-2025-144,2025-08-28,Servicios,2412.00,cancelado,"Prestación de servicio"
145,INV-2025-145,2025-07-26,Inventario,1584.00,activo,"Compra de stock"
146,INV-2025-146,2025-01-29,Gastos,1084.00,completado,"Pago de gasto operativo"
147,INV-2025-147,2025-07-01,Ventas,2313.00,activo,"Venta de producto comercial"
148,INV-2025-148,2025-09-02,Gastos,4057.00,pendiente,"Pago de gasto operativo"
149,INV-2025-149,2025-08-07,Ventas,2880.00,cancelado,"Venta de producto comercial"
150,INV-2025-150,2025-08-15,Ventas,1509.00,completado,"Venta de producto comercial"
151,INV-2025-151,2025-02-23,Servicios,134.00,activo,"Prestación de servicio"
152,INV-2025-152,2025-07-11,Inventario,4370.00,pendiente,"Compra de stock"
153,INV-2025-153,2025-08-18,Inventario,2578.00,pendiente,"Compra de stock"
154,INV-2025-154,2025-05-01,Gastos,4723.00,completado,"Pago de gasto operativo"
155,INV-2025-155,2025-07-13,Servicios,4469.00,cancelado,"Prestación de servicio"
156,INV-2025-156,2025-02-25,Ventas,2218.00,pendiente,"Venta de producto comercial"
157,INV-2025-157,2025-01-01,Ventas,1106.00,pendiente,"Venta de producto comercial"
158,INV-2025-158,2025-06-27,Gastos,1828.00,cancelado,"Pago de gasto operativo"
159,INV-2025-159,2025-02-23,Ventas,1293.00,completado,"Venta de producto comercial"
160,INV-2025-160,2025-07-02,Gastos,2714.00,completado,"Pago de gasto operativo"
161,INV-2025-161,2025-09-23,Servicios,3540.00,completado,"Prestación de servicio"
162,INV-2025-162,2025-04-04,Servicios,3082.00,completado,"Prestación de servicio"
163,INV-2025-163,2025-10-17,Ventas,3261.00,pendiente,"Venta de producto comercial"
164,INV-2025-164,2025-08-27,Gastos,4015.00,completado,"Pago de gasto operativo"
165,INV-2025-165,2025-04-10,Gastos,3836.00,activo,"Pago de gasto operativo"
166,INV-2025-166,2025-09-09,Inventario,1917.00,completado,"Compra de stock"
167,INV-2025-167,2025-08-21,Gastos,1689.00,completado,"Pago de gasto operativo"
168,INV-2025-168,2025-07-22,Servicios,4650.00,completado,"Prestación de servicio"
169,INV-2025-169,2025-11-21,Inventario,1213.00,activo,"Compra de stock"
170,INV-2025-170,2025-08-15,Inventario,1706.00,cancelado,"Compra de stock"
171,INV-2025-171,2025-11-18,Ventas,3216.00,activo,"Venta de producto comercial"
172,INV-2025-172,2025-11-15,Inventario,1609.00,pendiente,"Compra de stock"
173,INV-2025-173,2025-11-11,Gastos,3920.00,pendiente,"Pago de gasto operativo"
174,INV-2025-174,2025-10-21,Ventas,3376.00,activo,"Venta de producto comercial"
175,INV-2025-175,2025-01-05,Gastos,4128.00,cancelado,"Pago de gasto operativo"
176,INV-2025-176,2025-08-09,Inventario,929.00,activo,"Compra de stock"
177,INV-2025-177,2025-03-23,Ventas,3820.00,pendiente,"Venta de producto comercial"
178,INV-2025-178,2025-04-01,Servicios,3915.00,pendiente,"Prestación de servicio"
179,INV-2025-179,2025-11-04,Gastos,3495.00,pendiente,"Pago de gasto operativo"
180,INV-2025-180,2025-04-22,Servicios,1905.00,completado,"Prestación de servicio"
181,INV-2025-181,2025-02-22,Inventario,4302.00,completado,"Compra de stock"
182,INV-2025-182,2025-03-03,Gastos,4480.00,activo,"Pago de gasto operativo"
183,INV-2025-183,2025-04-14,Servicios,3166.00,cancelado,"Prestación de servicio"
184,INV-2025-184,2025-02-14,Ventas,2172.00,cancelado,"Venta de producto comercial"
185,INV-2025-185,2025-10-07,Inventario,1746.00,cancelado,"Compra de stock"
186,INV-2025-186,2025-04-27,Gastos,4867.00,cancelado,"Pago de gasto operativo"
187,INV-2025-187,2025-05-03,Inventario,4902.00,completado,"Compra de stock"
188,INV-2025-188,2025-08-16,Gastos,4803.00,completado,"Pago de gasto operativo"
189,INV-2025-189,2025-05-06,Inventario,1679.00,cancelado,"Compra de stock"
190,INV-2025-190,2025-09-14,Servicios,1078.00,activo,"Prestación de servicio"
191,INV-2025-191,2025-01-30,Gastos,4236.00,cancelado,"Pago de gasto operativo"
192,INV-2025-192,2025-02-06,Inventario,3573.00,completado,"Compra de stock"
193,INV-2025-193,2025-04-13,Gastos,1214.00,completado,"Pago de gasto operativo"
194,INV-2025-194,2025-04-26,Servicios,1603.00,cancelado,"Prestación de servicio"
195,INV-2025-195,2025-04-27,Servicios,3901.00,pendiente,"Prestación de servicio"
196,INV-2025-196,2025-03-09,Inventario,4877.00,pendiente,"Compra de stock"
197,INV-2025-197,2025-01-06,Servicios,2093.00,activo,"Prestación de servicio"
198,INV-2025-198,2025-08-01,Ventas,3073.00,activo,"Venta de producto comercial"
199,INV-2025-199,2025-04-20,Gastos,2139.00,activo,"Pago de gasto operativo"
200,INV-2025-200,2025-10-17,Servicios,3643.00,cancelado,"Prestación de servicio"
201,INV-2025-201,2025-01-26,Gastos,3944.00,completado,"Pago de gasto operativo"
202,INV-2025-202,2025-05-26,Servicios,3699.00,completado,"Prestación de servicio"
203,INV-2025-203,2025-09-17,Ventas,4588.00,pendiente,"Venta de producto comercial"
204,INV-2025-204,2025-02-28,Servicios,483.00,cancelado,"Prestación de servicio"
205,INV-2025-205,2025-10-25,Inventario,1744.00,cancelado,"Compra de stock"
206,INV-2025-206,2025-01-12,Ventas,4854.00,completado,"Venta de producto comercial"
207,INV-2025-207,2025-08-30,Ventas,4950.00,cancelado,"Venta de producto comercial"
208,INV-2025-208,2025-06-22,Gastos,804.00,pendiente,"Pago de gasto operativo"
209,INV-2025-209,2025-06-04,Inventario,805.00,cancelado,"Compra de stock"
210,INV-2025-210,2025-01-21,Gastos,4216.00,activo,"Pago de gasto operativo"
211,INV-2025-211,2025-10-01,Ventas,4427.00,completado,"Venta de producto comercial"
212,INV-2025-212,2025-09-28,Gastos,1536.00,activo,"Pago de gasto operativo"
213,INV-2025-213,2025-05-08,Servicios,3318.00,cancelado,"Prestación de servicio"
214,INV-2025-214,2025-06-04,Servicios,2843.00,cancelado,"Prestación de servicio"
215,INV-2025-215,2025-01-11,Ventas,4045.00,pendiente,"Venta de producto comercial"
216,INV-2025-216,2025-01-18,Inventario,4203.00,pendiente,"Compra de stock"
217,INV-2025-217,2025-08-31,Ventas,3858.00,activo,"Venta de producto comercial"
218,INV-2025-218,2025-05-13,Ventas,2270.00,pendiente,"Venta de producto comercial"
219,INV-2025-219,2025-11-07,Ventas,3539.00,pendiente,"Venta de producto comercial"
220,INV-2025-220,2025-03-06,Inventario,4787.00,pendiente,"Compra de stock"
221,INV-2025-221,2025-08-26,Ventas,387.00,pendiente,"Venta de producto comercial"
222,INV-2025-222,2025-02-25,Servicios,2289.00,pendiente,"Prestación de servicio"
223,INV-2025-223,2025-01-25,Gastos,4273.00,pendiente,"Pago de gasto operativo"
224,INV-2025-224,2025-06-07,Servicios,2799.00,activo,"Prestación de servicio"
225,INV-2025-225,2025-01-21,Servicios,1753.00,completado,"Prestación de servicio"
226,INV-2025-226,2025-04-06,Inventario,4598.00,pendiente,"Compra de stock"
227,INV-2025-227,2025-09-26,Servicios,400.00,completado,"Prestación de servicio"
228,INV-2025-228,2025-08-09,Servicios,1884.00,completado,"Prestación de servicio"
229,INV-2025-229,2025-06-06,Gastos,1459.00,pendiente,"Pago de gasto operativo"
230,INV-2025-230,2025-02-20,Gastos,2184.00,activo,"Pago de gasto operativo"
231,INV-2025-231,2025-09-10,Ventas,1728.00,pendiente,"Venta de producto comercial"
232,INV-2025-232,2025-02-08,Inventario,4159.00,completado,"Compra de stock"
233,INV-2025-233,2025-09-21,Servicios,1489.00,activo,"Prestación de servicio"
234,INV-2025-234,2025-08-24,Gastos,199.00,completado,"Pago de gasto operativo"
235,INV-2025-235,2025-05-12,Gastos,4523.00,pendiente,"Pago de gasto operativo"
236,INV-2025-236,2025-07-20,Ventas,648.00,pendiente,"Venta de producto comercial"
237,INV-2025-237,2025-11-11,Inventario,3904.00,pendiente,"Compra de stock"
238,INV-2025-238,2025-01-23,Inventario,1040.00,pendiente,"Compra de stock"
239,INV-2025-239,2025-11-09,Servicios,3007.00,pendiente,"Prestación de servicio"
240,INV-2025-240,2025-10-19,Servicios,3089.00,activo,"Prestación de servicio"
241,INV-2025-241,2025-03-20,Gastos,3935.00,pendiente,"Pago de gasto operativo"
242,INV-2025-242,2025-01-11,Inventario,1202.00,pendiente,"Compra de stock"
243,INV-2025-243,2025-10-01,Inventario,2453.00,activo,"Compra de stock"
244,INV-2025-244,2025-08-18,Gastos,2462.00,cancelado,"Pago de gasto operativo"
245,INV-2025-245,2025-06-24,Servicios,2364.00,pendiente,"Prestación de servicio"
246,INV-2025-246,2025-10-12,Inventario,3766.00,completado,"Compra de stock"
247,INV-2025-247,2025-05-26,Servicios,2268.00,completado,"Prestación de servicio"
248,INV-2025-248,2025-01-27,Inventario,4481.00,pendiente,"Compra de stock"
249,INV-2025-249,2025-03-13,Ventas,2051.00,activo,"Venta de producto comercial"
250,INV-2025-250,2025-02-10,Gastos,2421.00,pendiente,"Pago de gasto operativo"
